prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.698,0.374,0.422,0.926,0.462,0.96,0.462,0.462,"[[168   7]
 [  7   6]]",0.657
Q503K9,99,0.759,0.672,0.391,0.697,0.674,0.717,0.674,0.674,"[[38 15]
 [15 31]]",0.719
Q9I4X1,348,0.83,0.582,0.422,0.805,0.547,0.875,0.547,0.547,"[[239  34]
 [ 34  41]]",0.591
P9WQ67,398,0.776,0.352,0.285,0.859,0.364,0.921,0.364,0.364,"[[326  28]
 [ 28  16]]",0.621
U3J0P1,147,0.783,0.456,0.324,0.728,0.512,0.811,0.512,0.512,"[[86 20]
 [20 21]]",0.532
P9WN95,379,0.575,0.119,0.006,0.821,0.105,0.9,0.105,0.105,"[[307  34]
 [ 34   4]]",0.546
P9WFX5,370,0.887,0.557,0.528,0.941,0.56,0.968,0.56,0.56,"[[334  11]
 [ 11  14]]",0.633
B4RLV9,227,0.899,0.674,0.483,0.859,0.568,0.916,0.568,0.568,"[[174  16]
 [ 16  21]]",0.698
Q9LSI9,605,0.776,0.147,0.082,0.927,0.12,0.962,0.12,0.12,"[[558  22]
 [ 22   3]]",0.316
P46662,596,0.785,0.268,0.176,0.819,0.28,0.896,0.28,0.28,"[[467  54]
 [ 54  21]]",0.472
A0A0D5YE19,316,0.83,0.494,0.497,0.924,0.538,0.959,0.538,0.538,"[[278  12]
 [ 12  14]]",0.65
A6V1E4,258,0.675,0.403,0.228,0.698,0.435,0.794,0.435,0.435,"[[150  39]
 [ 39  30]]",0.674
O68720,468,0.543,0.059,-0.014,0.897,0.04,0.946,0.04,0.04,"[[419  24]
 [ 24   1]]",0.584
C6KSZ2,432,0.779,0.488,0.381,0.801,0.506,0.875,0.506,0.506,"[[302  43]
 [ 43  44]]",0.537
Q6QLL4,300,0.903,0.764,0.563,0.82,0.69,0.873,0.69,0.69,"[[186  27]
 [ 27  60]]",0.522
Q396C5,212,0.622,0.357,0.16,0.67,0.386,0.774,0.386,0.386,"[[120  35]
 [ 35  22]]",0.592
Q91UM2,218,0.69,0.451,0.225,0.697,0.431,0.794,0.431,0.431,"[[127  33]
 [ 33  25]]",0.507
A0PL01,161,0.728,0.636,0.278,0.665,0.542,0.735,0.542,0.542,"[[75 27]
 [27 32]]",0.624
Q9H1R3,596,0.942,0.226,0.141,0.95,0.167,0.974,0.167,0.167,"[[563  15]
 [ 15   3]]",0.481
Q72GF3,517,0.487,0.104,-0.068,0.787,0.052,0.88,0.052,0.052,"[[404  55]
 [ 55   3]]",0.238
W6EQP0,501,0.569,0.281,-0.012,0.649,0.214,0.774,0.214,0.214,"[[301  88]
 [ 88  24]]",0.585
G3XP38,480,0.891,0.392,0.374,0.9,0.429,0.945,0.429,0.429,"[[414  24]
 [ 24  18]]",0.821
Q51782,407,0.59,0.105,-0.036,0.833,0.056,0.908,0.056,0.056,"[[337  34]
 [ 34   2]]",0.514
S7UWA0,399,0.618,0.03,-0.023,0.955,0.0,0.977,0.0,0.0,"[[381   9]
 [  9   0]]",0.679
Q95XC8,352,0.621,0.143,-0.049,0.784,0.073,0.878,0.073,0.073,"[[273  38]
 [ 38   3]]",0.539
P08921,344,0.822,0.641,0.539,0.831,0.651,0.889,0.651,0.651,"[[232  29]
 [ 29  54]]",0.208
A0A0F4FI39,334,0.537,0.034,-0.031,0.94,0.0,0.969,0.0,0.0,"[[314  10]
 [ 10   0]]",0.637
P0A3Q9,312,0.738,0.426,0.274,0.75,0.435,0.84,0.435,0.435,"[[204  39]
 [ 39  30]]",0.614
Q2G542,288,0.798,0.639,0.418,0.778,0.568,0.85,0.568,0.568,"[[182  32]
 [ 32  42]]",0.582
F9UST4,276,0.751,0.515,0.465,0.812,0.587,0.878,0.587,0.587,"[[187  26]
 [ 26  37]]",0.477
Q5SHU9,253,0.659,0.278,0.186,0.85,0.269,0.916,0.269,0.269,"[[208  19]
 [ 19   7]]",0.654
Q8TZY3,212,0.567,0.098,-0.023,0.849,0.059,0.918,0.059,0.059,"[[179  16]
 [ 16   1]]",0.67
Q9Z2X2,231,0.818,0.58,0.42,0.818,0.533,0.887,0.533,0.533,"[[165  21]
 [ 21  24]]",0.504
P14831,217,0.877,0.514,0.355,0.917,0.4,0.955,0.4,0.4,"[[193   9]
 [  9   6]]",0.693
A0A0H2VDD2,207,0.604,0.057,-0.04,0.923,0.0,0.96,0.0,0.0,"[[191   8]
 [  8   0]]",0.711
O33927,197,0.87,0.565,0.389,0.898,0.444,0.944,0.444,0.444,"[[169  10]
 [ 10   8]]",0.711
D0CY60,192,0.846,0.197,0.259,0.948,0.286,0.973,0.286,0.286,"[[180   5]
 [  5   2]]",0.792
P10109,184,0.957,0.564,0.536,0.935,0.571,0.965,0.571,0.571,"[[164   6]
 [  6   8]]",0.692
C0JWR6,170,0.655,0.203,0.068,0.824,0.167,0.901,0.167,0.167,"[[137  15]
 [ 15   3]]",0.536
