prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.674,0.195,0.174,0.894,0.231,0.943,0.231,0.231,"[[165  10]
 [ 10   3]]",0.811
Q503K9,99,0.742,0.715,0.391,0.697,0.674,0.717,0.674,0.674,"[[38 15]
 [15 31]]",0.844
Q9I4X1,348,0.819,0.562,0.439,0.81,0.56,0.879,0.56,0.56,"[[240  33]
 [ 33  42]]",0.787
P9WQ67,398,0.761,0.312,0.285,0.859,0.364,0.921,0.364,0.364,"[[326  28]
 [ 28  16]]",0.746
U3J0P1,147,0.733,0.471,0.222,0.687,0.439,0.783,0.439,0.439,"[[83 23]
 [23 18]]",0.682
P9WN95,379,0.665,0.21,0.093,0.836,0.184,0.909,0.184,0.184,"[[310  31]
 [ 31   7]]",0.697
P9WFX5,370,0.883,0.475,0.399,0.924,0.44,0.959,0.44,0.44,"[[331  14]
 [ 14  11]]",0.802
B4RLV9,227,0.91,0.664,0.516,0.868,0.595,0.921,0.595,0.595,"[[175  15]
 [ 15  22]]",0.845
Q9LSI9,605,0.738,0.078,-0.001,0.921,0.04,0.959,0.04,0.04,"[[556  24]
 [ 24   1]]",0.635
P46662,596,0.784,0.255,0.176,0.819,0.28,0.896,0.28,0.28,"[[467  54]
 [ 54  21]]",0.616
A0A0D5YE19,316,0.778,0.355,0.371,0.905,0.423,0.948,0.423,0.423,"[[275  15]
 [ 15  11]]",0.718
A6V1E4,258,0.721,0.441,0.347,0.744,0.522,0.825,0.522,0.522,"[[156  33]
 [ 33  36]]",0.835
O68720,468,0.583,0.174,0.07,0.906,0.12,0.95,0.12,0.12,"[[421  22]
 [ 22   3]]",0.583
C6KSZ2,432,0.758,0.51,0.367,0.796,0.494,0.872,0.494,0.494,"[[301  44]
 [ 44  43]]",0.674
Q6QLL4,300,0.863,0.703,0.466,0.78,0.621,0.845,0.621,0.621,"[[180  33]
 [ 33  54]]",0.641
Q396C5,212,0.65,0.402,0.112,0.651,0.351,0.761,0.351,0.351,"[[118  37]
 [ 37  20]]",0.747
Q91UM2,218,0.63,0.392,0.107,0.651,0.345,0.762,0.345,0.345,"[[122  38]
 [ 38  20]]",0.653
A0PL01,161,0.76,0.645,0.358,0.702,0.593,0.765,0.593,0.593,"[[78 24]
 [24 35]]",0.733
Q9H1R3,596,0.874,0.108,-0.031,0.94,0.0,0.969,0.0,0.0,"[[560  18]
 [ 18   0]]",0.648
Q72GF3,517,0.635,0.328,0.184,0.838,0.276,0.908,0.276,0.276,"[[417  42]
 [ 42  16]]",0.601
W6EQP0,501,0.569,0.279,-0.0,0.653,0.223,0.776,0.223,0.223,"[[302  87]
 [ 87  25]]",0.774
G3XP38,480,0.886,0.454,0.374,0.9,0.429,0.945,0.429,0.429,"[[414  24]
 [ 24  18]]",0.92
Q51782,407,0.551,0.099,-0.036,0.833,0.056,0.908,0.056,0.056,"[[337  34]
 [ 34   2]]",0.7
S7UWA0,399,0.765,0.048,-0.023,0.955,0.0,0.977,0.0,0.0,"[[381   9]
 [  9   0]]",0.834
Q95XC8,352,0.609,0.135,-0.104,0.773,0.024,0.871,0.024,0.024,"[[271  40]
 [ 40   1]]",0.692
