prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.68,0.185,0.091,0.883,0.154,0.937,0.154,0.154,"[[164  11]
 [ 11   2]]",0.837
Q503K9,99,0.747,0.708,0.391,0.697,0.674,0.717,0.674,0.674,"[[38 15]
 [15 31]]",0.776
Q9I4X1,348,0.823,0.545,0.456,0.816,0.573,0.883,0.573,0.573,"[[241  32]
 [ 32  43]]",0.771
P9WQ67,398,0.761,0.329,0.285,0.859,0.364,0.921,0.364,0.364,"[[326  28]
 [ 28  16]]",0.711
U3J0P1,147,0.749,0.464,0.29,0.714,0.488,0.802,0.488,0.488,"[[85 21]
 [21 20]]",0.629
P9WN95,379,0.562,0.112,-0.024,0.815,0.079,0.897,0.079,0.079,"[[306  35]
 [ 35   3]]",0.629
P9WFX5,370,0.862,0.406,0.357,0.919,0.4,0.957,0.4,0.4,"[[330  15]
 [ 15  10]]",0.678
B4RLV9,227,0.865,0.629,0.451,0.85,0.541,0.911,0.541,0.541,"[[173  17]
 [ 17  20]]",0.77
Q9LSI9,605,0.649,0.057,-0.043,0.917,0.0,0.957,0.0,0.0,"[[555  25]
 [ 25   0]]",0.595
P46662,596,0.813,0.299,0.268,0.839,0.36,0.908,0.36,0.36,"[[473  48]
 [ 48  27]]",0.569
A0A0D5YE19,316,0.757,0.286,0.246,0.886,0.308,0.938,0.308,0.308,"[[272  18]
 [ 18   8]]",0.642
A6V1E4,258,0.727,0.473,0.347,0.744,0.522,0.825,0.522,0.522,"[[156  33]
 [ 33  36]]",0.754
O68720,468,0.557,0.059,-0.056,0.893,0.0,0.944,0.0,0.0,"[[418  25]
 [ 25   0]]",0.643
C6KSZ2,432,0.737,0.489,0.309,0.778,0.448,0.861,0.448,0.448,"[[297  48]
 [ 48  39]]",0.661
Q6QLL4,300,0.892,0.719,0.514,0.8,0.655,0.859,0.655,0.655,"[[183  30]
 [ 30  57]]",0.622
Q396C5,212,0.685,0.382,0.16,0.67,0.386,0.774,0.386,0.386,"[[120  35]
 [ 35  22]]",0.672
Q91UM2,218,0.581,0.323,0.013,0.615,0.276,0.738,0.276,0.276,"[[118  42]
 [ 42  16]]",0.588
A0PL01,161,0.755,0.647,0.304,0.677,0.559,0.745,0.559,0.559,"[[76 26]
 [26 33]]",0.693
Q9H1R3,596,0.842,0.132,0.083,0.946,0.111,0.972,0.111,0.111,"[[562  16]
 [ 16   2]]",0.628
Q72GF3,517,0.708,0.248,0.184,0.838,0.276,0.908,0.276,0.276,"[[417  42]
 [ 42  16]]",0.455
W6EQP0,501,0.567,0.289,-0.012,0.649,0.214,0.774,0.214,0.214,"[[301  88]
 [ 88  24]]",0.694
G3XP38,480,0.891,0.435,0.374,0.9,0.429,0.945,0.429,0.429,"[[414  24]
 [ 24  18]]",0.887
Q51782,407,0.57,0.102,-0.067,0.828,0.028,0.906,0.028,0.028,"[[336  35]
 [ 35   1]]",0.647
S7UWA0,399,0.707,0.039,-0.023,0.955,0.0,0.977,0.0,0.0,"[[381   9]
 [  9   0]]",0.761
Q95XC8,352,0.599,0.131,-0.077,0.778,0.049,0.875,0.049,0.049,"[[272  39]
 [ 39   2]]",0.639
P08921,344,0.919,0.738,0.587,0.849,0.687,0.9,0.687,0.687,"[[235  26]
 [ 26  57]]",0.273
A0A0F4FI39,334,0.516,0.032,-0.031,0.94,0.0,0.969,0.0,0.0,"[[314  10]
 [ 10   0]]",0.654
P0A3Q9,312,0.774,0.507,0.349,0.776,0.493,0.856,0.493,0.493,"[[208  35]
 [ 35  34]]",0.712
Q2G542,288,0.78,0.59,0.473,0.799,0.608,0.864,0.608,0.608,"[[185  29]
 [ 29  45]]",0.649
F9UST4,276,0.768,0.556,0.383,0.783,0.524,0.859,0.524,0.524,"[[183  30]
 [ 30  33]]",0.483
Q5SHU9,253,0.727,0.413,0.357,0.881,0.423,0.934,0.423,0.423,"[[212  15]
 [ 15  11]]",0.774
Q8TZY3,212,0.389,0.065,-0.087,0.84,0.0,0.913,0.0,0.0,"[[178  17]
 [ 17   0]]",0.762
Q9Z2X2,231,0.834,0.649,0.476,0.835,0.578,0.898,0.578,0.578,"[[167  19]
 [ 19  26]]",0.512
P14831,217,0.891,0.363,0.212,0.899,0.267,0.946,0.267,0.267,"[[191  11]
 [ 11   4]]",0.781
A0A0H2VDD2,207,0.611,0.063,-0.04,0.923,0.0,0.96,0.0,0.0,"[[191   8]
 [  8   0]]",0.781
O33927,197,0.869,0.325,0.266,0.878,0.333,0.933,0.333,0.333,"[[167  12]
 [ 12   6]]",0.846
D0CY60,192,0.797,0.103,-0.038,0.927,0.0,0.962,0.0,0.0,"[[178   7]
 [  7   0]]",0.842
P10109,184,0.956,0.618,0.459,0.924,0.5,0.959,0.5,0.5,"[[163   7]
 [  7   7]]",0.81
C0JWR6,170,0.671,0.356,0.254,0.859,0.333,0.921,0.333,0.333,"[[140  12]
 [ 12   6]]",0.604
Q15388,145,0.666,0.058,-0.036,0.931,0.0,0.964,0.0,0.0,"[[135   5]
 [  5   0]]",0.846
E1BSW7,139,0.83,0.686,0.381,0.712,0.608,0.773,0.608,0.608,"[[68 20]
 [20 31]]",0.862
Q7A189,109,0.385,0.097,-0.135,0.761,0.0,0.865,0.0,0.0,"[[83 13]
 [13  0]]",0.816
P0A734,88,0.657,0.353,0.05,0.614,0.32,0.73,0.32,0.32,"[[46 17]
 [17  8]]",0.877
P23945,695,0.867,0.326,0.321,0.919,0.364,0.957,0.364,0.364,"[[623  28]
 [ 28  16]]",0.481
O75807,674,0.966,0.294,0.261,0.976,0.273,0.988,0.273,0.273,"[[655   8]
 [  8   3]]",0.687
Q9BTE3,642,0.346,0.007,-0.008,0.984,0.0,0.992,0.0,0.0,"[[632   5]
 [  5   0]]",0.504
P37090,638,0.393,0.009,-0.009,0.981,0.0,0.991,0.0,0.0,"[[626   6]
 [  6   0]]",0.624
P46075,634,0.691,0.216,0.137,0.808,0.247,0.89,0.247,0.247,"[[492  61]
 [ 61  20]]",0.393
Q87SR8,626,0.927,0.211,0.112,0.958,0.133,0.979,0.133,0.133,"[[598  13]
 [ 13   2]]",0.715
Q9Y5P4,624,0.848,0.093,0.028,0.946,0.056,0.972,0.056,0.056,"[[589  17]
 [ 17   1]]",0.712
P06601,613,0.941,0.165,0.065,0.964,0.083,0.982,0.083,0.083,"[[590  11]
 [ 11   1]]",0.684
Q38846,613,0.733,0.128,0.041,0.869,0.111,0.93,0.111,0.111,"[[528  40]
 [ 40   5]]",0.421
D9SIP4,595,0.782,0.208,0.15,0.906,0.2,0.95,0.2,0.2,"[[532  28]
 [ 28   7]]",0.464
D3GUV9,576,0.776,0.238,0.275,0.951,0.3,0.975,0.3,0.3,"[[542  14]
 [ 14   6]]",0.267
P37173,567,0.865,0.096,0.073,0.965,0.091,0.982,0.091,0.091,"[[546  10]
 [ 10   1]]",0.547
Q9Y6K8,562,0.432,0.061,-0.081,0.851,0.0,0.919,0.0,0.0,"[[478  42]
 [ 42   0]]",0.521
P34913,555,0.586,0.186,0.228,0.957,0.25,0.978,0.25,0.25,"[[527  12]
 [ 12   4]]",0.411
Q9BZE9,553,0.845,0.459,0.43,0.91,0.479,0.95,0.479,0.479,"[[480  25]
 [ 25  23]]",0.549
P02836,552,0.966,0.508,0.52,0.975,0.533,0.987,0.533,0.533,"[[530   7]
 [  7   8]]",0.546
Q5TKA1,542,0.663,0.094,-0.075,0.86,0.0,0.925,0.0,0.0,"[[466  38]
 [ 38   0]]",0.593
A0A109PTH9,528,0.66,0.038,-0.025,0.951,0.0,0.975,0.0,0.0,"[[502  13]
 [ 13   0]]",0.677
Q99593,518,0.829,0.113,0.022,0.934,0.056,0.966,0.056,0.056,"[[483  17]
 [ 17   1]]",0.737
Q9H0F5,515,0.963,0.388,0.486,0.973,0.5,0.986,0.5,0.5,"[[494   7]
 [  7   7]]",0.461
O69787,512,0.736,0.18,0.186,0.883,0.25,0.936,0.25,0.25,"[[442  30]
 [ 30  10]]",0.763
P11349,512,0.563,0.387,0.077,0.586,0.391,0.686,0.391,0.391,"[[232 106]
 [106  68]]",0.531
P15289,507,0.735,0.025,-0.01,0.98,0.0,0.99,0.0,0.0,"[[497   5]
 [  5   0]]",0.734
Q99FX5,496,0.349,0.01,-0.012,0.976,0.0,0.988,0.0,0.0,"[[484   6]
 [  6   0]]",0.594
P09167,493,0.63,0.191,0.101,0.813,0.207,0.894,0.207,0.207,"[[389  46]
 [ 46  12]]",0.508
O60016,490,0.655,0.027,-0.019,0.963,0.0,0.981,0.0,0.0,"[[472   9]
 [  9   0]]",0.745
P16778,487,0.268,0.005,-0.006,0.988,0.0,0.994,0.0,0.0,"[[481   3]
 [  3   0]]",0.639
Q9BZI7,483,0.957,0.507,0.518,0.954,0.542,0.976,0.542,0.542,"[[448  11]
 [ 11  13]]",0.736
Q5SM28,477,0.726,0.324,0.196,0.799,0.314,0.882,0.314,0.314,"[[359  48]
 [ 48  22]]",0.677
P17901,475,0.894,0.148,0.117,0.949,0.143,0.974,0.143,0.143,"[[449  12]
 [ 12   2]]",0.635
Q01786,466,0.484,0.004,-0.002,0.996,0.0,0.998,0.0,0.0,"[[464   1]
 [  1   0]]",0.68
Q15208,465,0.128,0.013,-0.022,0.957,0.0,0.978,0.0,0.0,"[[445  10]
 [ 10   0]]",0.702
Q16790,459,0.757,0.336,0.251,0.791,0.377,0.874,0.377,0.377,"[[334  48]
 [ 48  29]]",0.657
Q9H7Z6,458,0.591,0.196,0.092,0.782,0.219,0.873,0.219,0.219,"[[344  50]
 [ 50  14]]",0.596
B8HDZ1,445,0.804,0.696,0.477,0.757,0.669,0.809,0.669,0.669,"[[228  54]
 [ 54 109]]",0.54
Q7Z6B0,441,0.652,0.03,-0.021,0.959,0.0,0.979,0.0,0.0,"[[423   9]
 [  9   0]]",0.829
Q99538,433,0.902,0.44,0.494,0.931,0.531,0.963,0.531,0.531,"[[386  15]
 [ 15  17]]",0.67
P0A6H1,424,0.923,0.503,0.514,0.948,0.542,0.972,0.542,0.542,"[[389  11]
 [ 11  13]]",0.471
Q9XVS8,421,0.858,0.341,0.289,0.886,0.351,0.938,0.351,0.351,"[[360  24]
 [ 24  13]]",0.709
A3DBG4,419,0.453,0.042,-0.05,0.905,0.0,0.95,0.0,0.0,"[[379  20]
 [ 20   0]]",0.497
O14733,419,0.101,0.017,-0.029,0.943,0.0,0.971,0.0,0.0,"[[395  12]
 [ 12   0]]",0.647
Q4WQS0,406,0.743,0.064,-0.03,0.941,0.0,0.97,0.0,0.0,"[[382  12]
 [ 12   0]]",0.714
G4RIN4,401,0.66,0.082,0.069,0.92,0.111,0.958,0.111,0.111,"[[367  16]
 [ 16   2]]",0.631
P15529,392,0.76,0.095,0.016,0.918,0.059,0.957,0.059,0.059,"[[359  16]
 [ 16   1]]",0.561
Q3U4G3,392,0.884,0.208,0.282,0.964,0.3,0.982,0.3,0.3,"[[375   7]
 [  7   3]]",0.659
O25175,389,0.395,0.042,-0.051,0.902,0.0,0.949,0.0,0.0,"[[351  19]
 [ 19   0]]",0.393
