prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.662,0.196,0.174,0.894,0.231,0.943,0.231,0.231,"[[165  10]
 [ 10   3]]",0.875
Q503K9,99,0.749,0.681,0.472,0.737,0.717,0.755,0.717,0.717,"[[40 13]
 [13 33]]",0.821
Q9I4X1,348,0.825,0.599,0.439,0.81,0.56,0.879,0.56,0.56,"[[240  33]
 [ 33  42]]",0.799
P9WQ67,398,0.727,0.283,0.208,0.844,0.295,0.912,0.295,0.295,"[[323  31]
 [ 31  13]]",0.819
U3J0P1,147,0.704,0.411,0.154,0.66,0.39,0.764,0.39,0.39,"[[81 25]
 [25 16]]",0.718
P9WN95,379,0.604,0.127,0.006,0.821,0.105,0.9,0.105,0.105,"[[307  34]
 [ 34   4]]",0.815
P9WFX5,370,0.867,0.454,0.442,0.93,0.48,0.962,0.48,0.48,"[[332  13]
 [ 13  12]]",0.812
B4RLV9,227,0.893,0.638,0.451,0.85,0.541,0.911,0.541,0.541,"[[173  17]
 [ 17  20]]",0.868
Q9LSI9,605,0.826,0.151,0.124,0.931,0.16,0.964,0.16,0.16,"[[559  21]
 [ 21   4]]",0.657
P46662,596,0.805,0.292,0.131,0.809,0.24,0.891,0.24,0.24,"[[464  57]
 [ 57  18]]",0.653
A0A0D5YE19,316,0.809,0.398,0.413,0.911,0.462,0.952,0.462,0.462,"[[276  14]
 [ 14  12]]",0.764
A6V1E4,258,0.686,0.414,0.268,0.713,0.464,0.804,0.464,0.464,"[[152  37]
 [ 37  32]]",0.833
O68720,468,0.625,0.164,0.07,0.906,0.12,0.95,0.12,0.12,"[[421  22]
 [ 22   3]]",0.631
C6KSZ2,432,0.796,0.511,0.396,0.806,0.517,0.878,0.517,0.517,"[[303  42]
 [ 42  45]]",0.747
Q6QLL4,300,0.911,0.755,0.579,0.827,0.701,0.878,0.701,0.701,"[[187  26]
 [ 26  61]]",0.767
Q396C5,212,0.594,0.349,0.088,0.642,0.333,0.755,0.333,0.333,"[[117  38]
 [ 38  19]]",0.805
Q91UM2,218,0.573,0.341,0.06,0.633,0.31,0.75,0.31,0.31,"[[120  40]
 [ 40  18]]",0.703
A0PL01,161,0.728,0.613,0.251,0.652,0.525,0.725,0.525,0.525,"[[74 28]
 [28 31]]",0.804
Q9H1R3,596,0.844,0.113,0.083,0.946,0.111,0.972,0.111,0.111,"[[562  16]
 [ 16   2]]",0.73
Q72GF3,517,0.673,0.275,0.281,0.857,0.362,0.919,0.362,0.362,"[[422  37]
 [ 37  21]]",0.57
W6EQP0,501,0.564,0.262,-0.035,0.641,0.196,0.769,0.196,0.196,"[[299  90]
 [ 90  22]]",0.778
G3XP38,480,0.872,0.467,0.452,0.912,0.5,0.952,0.5,0.5,"[[417  21]
 [ 21  21]]",0.936
Q51782,407,0.524,0.096,-0.006,0.838,0.083,0.911,0.083,0.083,"[[338  33]
 [ 33   3]]",0.751
