prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.742,0.264,0.256,0.904,0.308,0.949,0.308,0.308,"[[166   9]
 [  9   4]]",0.951
Q503K9,99,0.729,0.725,0.391,0.697,0.674,0.717,0.674,0.674,"[[38 15]
 [15 31]]",0.936
Q9I4X1,348,0.841,0.608,0.405,0.799,0.533,0.872,0.533,0.533,"[[238  35]
 [ 35  40]]",0.905
P9WQ67,398,0.773,0.363,0.336,0.869,0.409,0.927,0.409,0.409,"[[328  26]
 [ 26  18]]",0.931
U3J0P1,147,0.733,0.475,0.222,0.687,0.439,0.783,0.439,0.439,"[[83 23]
 [23 18]]",0.901
P9WN95,379,0.645,0.257,0.152,0.847,0.237,0.915,0.237,0.237,"[[312  29]
 [ 29   9]]",0.913
P9WFX5,370,0.89,0.521,0.485,0.935,0.52,0.965,0.52,0.52,"[[333  12]
 [ 12  13]]",0.931
B4RLV9,227,0.899,0.657,0.516,0.868,0.595,0.921,0.595,0.595,"[[175  15]
 [ 15  22]]",0.938
Q9LSI9,605,0.717,0.068,-0.043,0.917,0.0,0.957,0.0,0.0,"[[555  25]
 [ 25   0]]",0.926
P46662,596,0.754,0.289,0.237,0.832,0.333,0.904,0.333,0.333,"[[471  50]
 [ 50  25]]",0.908
A0A0D5YE19,316,0.665,0.118,-0.006,0.848,0.077,0.917,0.077,0.077,"[[266  24]
 [ 24   2]]",0.905
A6V1E4,258,0.735,0.444,0.268,0.713,0.464,0.804,0.464,0.464,"[[152  37]
 [ 37  32]]",0.911
O68720,468,0.739,0.191,0.07,0.906,0.12,0.95,0.12,0.12,"[[421  22]
 [ 22   3]]",0.866
C6KSZ2,432,0.799,0.492,0.41,0.81,0.529,0.881,0.529,0.529,"[[304  41]
 [ 41  46]]",0.895
Q6QLL4,300,0.88,0.734,0.547,0.813,0.678,0.869,0.678,0.678,"[[185  28]
 [ 28  59]]",0.882
Q396C5,212,0.629,0.345,0.112,0.651,0.351,0.761,0.351,0.351,"[[118  37]
 [ 37  20]]",0.887
Q91UM2,218,0.634,0.322,-0.01,0.606,0.259,0.731,0.259,0.259,"[[117  43]
 [ 43  15]]",0.875
A0PL01,161,0.724,0.604,0.278,0.665,0.542,0.735,0.542,0.542,"[[75 27]
 [27 32]]",0.893
Q9H1R3,596,0.97,0.469,0.484,0.97,0.5,0.984,0.5,0.5,"[[569   9]
 [  9   9]]",0.922
Q72GF3,517,0.666,0.224,0.165,0.834,0.259,0.906,0.259,0.259,"[[416  43]
 [ 43  15]]",0.895
