prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
A0A024RAV5,188,0.694,0.292,0.256,0.904,0.308,0.949,0.308,0.308,"[[166   9]
 [  9   4]]",0.739
Q503K9,99,0.714,0.638,0.269,0.636,0.609,0.66,0.609,0.609,"[[35 18]
 [18 28]]",0.724
Q9I4X1,348,0.81,0.557,0.354,0.782,0.493,0.861,0.493,0.493,"[[235  38]
 [ 38  37]]",0.719
P9WQ67,398,0.759,0.336,0.336,0.869,0.409,0.927,0.409,0.409,"[[328  26]
 [ 26  18]]",0.686
U3J0P1,147,0.806,0.563,0.425,0.769,0.585,0.84,0.585,0.585,"[[89 17]
 [17 24]]",0.622
P9WN95,379,0.627,0.175,0.035,0.826,0.132,0.903,0.132,0.132,"[[308  33]
 [ 33   5]]",0.67
P9WFX5,370,0.916,0.491,0.442,0.93,0.48,0.962,0.48,0.48,"[[332  13]
 [ 13  12]]",0.691
B4RLV9,227,0.881,0.609,0.419,0.841,0.514,0.905,0.514,0.514,"[[172  18]
 [ 18  19]]",0.771
Q9LSI9,605,0.777,0.095,-0.001,0.921,0.04,0.959,0.04,0.04,"[[556  24]
 [ 24   1]]",0.593
P46662,596,0.781,0.247,0.07,0.795,0.187,0.883,0.187,0.187,"[[460  61]
 [ 61  14]]",0.498
A0A0D5YE19,316,0.806,0.38,0.455,0.918,0.5,0.955,0.5,0.5,"[[277  13]
 [ 13  13]]",0.673
A6V1E4,258,0.714,0.481,0.387,0.76,0.551,0.836,0.551,0.551,"[[158  31]
 [ 31  38]]",0.731
O68720,468,0.653,0.094,0.028,0.902,0.08,0.948,0.08,0.08,"[[420  23]
 [ 23   2]]",0.59
C6KSZ2,432,0.734,0.438,0.309,0.778,0.448,0.861,0.448,0.448,"[[297  48]
 [ 48  39]]",0.672
Q6QLL4,300,0.889,0.707,0.563,0.82,0.69,0.873,0.69,0.69,"[[186  27]
 [ 27  60]]",0.641
Q396C5,212,0.641,0.365,0.184,0.679,0.404,0.781,0.404,0.404,"[[121  34]
 [ 34  23]]",0.676
